,Company Name,Job Name,Location,Rating,Pay,
0,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,$51K - $94K ,
1,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,$34 - $36 Per Hour,
2,Lumen,"Intern - Software Engineer - Summer 2022, CO or Remote (US)","Littleton, CO",3.3,$59K - $114K ,
3,Northrop Grumman,2022 Digital Software Engineer Intern-Baltimore,"Baltimore, MD",4,$23 - $28 Per Hour,
4,Cognex Corporation,Software Engineering Intern,"Natick, MA",4,$70K - $132K ,
5,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,$80K - $174K ,
6,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,$73K - $165K ,
7,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,$62K - $124K ,
8,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,$81K - $186K ,
9,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,$66K - $146K ,
10,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,$54K - $115K ,
11,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A,
12,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A,
13,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"San Francisco, CA",4.4,$38 Per Hour,
14,Duolingo,"Software Engineering, Thrive Intern","Pittsburgh, PA",4.7,$53K - $114K ,
15,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,$38 Per Hour,
16,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A,
17,Belvedere Trading,Software Engineer Intern - Summer 2022,"Boulder, CO",3.5,$105K ,
18,MasterCard,Software Development Engineer Intern,"O'Fallon, MO",4.2,$63K - $126K ,
19,DraftKings,SOFTWARE ENGINEER INTERN (SUMMER 2022),"Boston, MA",4.4,$66K - $131K ,
20,Unity Technologies,Software Engineer Intern,"San Francisco, CA",4.4,$75K - $144K ,
21,TikTok,"GIP - Software Engineer, Mobile Intern 2021","Mountain View, CA",3.6,$90K - $186K ,
22,Autodesk,"Intern, Software Engineer",California,4.3,N/A,
23,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,$78K - $173K ,
24,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,$20 - $24 Per Hour,
25,Bose,Software Engineering Summer Intern,"Framingham, MA",4,$67K - $141K ,
26,TikTok,Software Engineer PhD Intern - 2022 Summer,"San Francisco, CA",3.6,$83K - $192K ,
27,Slack,Software Engineering Intern,"San Francisco, CA",4.7,$80K - $193K ,
28,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,$57K - $125K ,
29,Expedia Group,Intern - Software Development Engineer - Denver,"Denver, CO",4.1,N/A,
30,BECHT,Software Engineering Intern/Co-op Student - Spring 2022,Remote,4.9,N/A,
31,Trimble,Software Engineer- Intern,"Princeton, NJ",4.5,$63K - $125K ,
32,Trimble,Software Engineer Intern - AWS,"Princeton, NJ",4.5,$61K - $120K ,
33,Datix,Intern Software Developer,Remote,3.8,N/A,
34,Lumen,Intern - Software Developer- Summer 2022,"Broomfield, CO",3.3,$61K - $120K ,
35,Rivial Data Security,User Experience Intern,Remote,N/A,$15 Per Hour,
36,Atlassian,"Software Engineer Intern, 2022 Summer U.S.","Mountain View, CA",4.6,$78K - $170K ,
37,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,$41 Per Hour,
38,Amazon.com Services LLC,Software Development Engineer Internship - Summer 2022 (US),"Seattle, WA",3.7,$99K ,
39,UKG (Ultimate Kronos Group),Software Engineer Intern - Spring/Summer 2022,Remote,4.1,N/A,
40,Bose,"Embedded Software (Linux C++) Application Engineering Intern, Out Loud Audio","Framingham, MA",4,$72K - $151K ,
41,NetApp,Intern - Software Engineer (BLDR),"Boulder, CO",4.1,$74K - $163K ,
42,NetApp,Intern - Software Engineer (NANE),"Waltham, MA",4.1,$68K - $159K ,
43,Riot Games,Software Engineering Intern,"Los Angeles, CA",4.2,$75K - $167K ,
44,Amazon.com Services LLC,Software Development Engineer Intern - Amazon Robotics - Summer 2022,"North Reading, MA",3.7,$75K - $143K ,
45,IBM,2022 Summer Software Engineer Intern – Impact Science,"San Jose, CA",3.9,$74K - $169K ,
46,Twilio - University Programs,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",N/A,$41 Per Hour,
47,Splunk,Software Engineer Intern (Remote - Summer 2022) - 20975,"San Francisco, CA",4.1,$67K - $183K ,
48,Johnson & Johnson Family of Companies,Robotics Software Engineering Intern 2022,"Redwood City, CA",4.2,$69K - $144K ,
49,SEVEN EIGHT CAPITAL,2022 Software Engineer Intern (Campus Hire),"New York, NY",N/A,$72K - $171K ,
50,Databricks,Software Engineering Intern,"San Francisco, CA",4.8,$79K - $182K ,
51,Intel,Software Engineer - PEY Intern,"San Jose, CA",4.2,$84K - $177K ,
52,Microsoft,"Ability Hiring Program, Software Engineering: Intern Opportunities","Redmond, WA",4.4,$94K - $184K ,
53,Productiv Inc,"Software Engineer, Intern","Palo Alto, CA",4.7,$68K - $145K ,
54,Niantic,Software Engineering Intern - Summer 2022,"San Francisco, CA",3.6,$86K - $186K ,
